"item","meaning"
"no_chain","If TRUE, no acyl-chain metadata is returned."
"ignore_sum_only","Ignore sum-only notation when there is no molecular or sn-position evidence."
"split","How the main chain section is split. 'auto' means '/', then '_', then whitespace."
"split_mode","Whether 'split' is interpreted as literal/fixed text or as a regex."
"exclude_first_chain","When two or more chains are present, drop the first chain token."
"detect_fa_suffix","Extract chains from FA suffixes in parentheses such as '(FA 22:6)'."
"detect_fa_tail","Extract trailing 'FA xx:y' notation outside parentheses."
"drop_zero_chains","Remove placeholder chains such as 0:0."
"priority","Rule precedence when multiple regexes match. Larger numbers win."
"score","Internal score equivalent to the R .score_rule implementation."
"Effective Classes","One-row-per-class table showing the final effective rule after precedence resolution."
"Regex Patterns","Raw YAML rules table, including overlaps and overridden patterns."
