"lipid_class","structural_category","reported_acyl_chain_metadata","excluded_backbone_or_nonacyl_moiety","accepted_notation","handling_of_sum_composition_only_names","special_handling_and_normalization","representative_interpretation","implemented_rule_id"
"Ac2PIM1","Glycerolipid","All chain tokens present in the lipid name are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: DG 16:0_18:1 -> reported chains 16:0 and 18:1.","glycerolipid"
"Ac2PIM2","Glycerolipid","All chain tokens present in the lipid name are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: DG 16:0_18:1 -> reported chains 16:0 and 18:1.","glycerolipid"
"Ac3PIM2","Glycerolipid","All chain tokens present in the lipid name are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: DG 16:0_18:1 -> reported chains 16:0 and 18:1.","glycerolipid"
"Ac4PIM2","Glycerolipid","All chain tokens present in the lipid name are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: DG 16:0_18:1 -> reported chains 16:0 and 18:1.","glycerolipid"
"ADGGA","Glycerolipid","All chain tokens present in the lipid name are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: DG 16:0_18:1 -> reported chains 16:0 and 18:1.","glycerolipid"
"AHexCer","Sphingolipid","Only the N-acyl chain is reported; the long-chain base is removed before reporting.","The first token is removed and interpreted as the sphingoid long-chain base.","Slash-delimited notation is parsed explicitly.","Sum-composition-only names are ignored unless molecular-species evidence is present.","FA suffixes in parentheses are captured; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: Cer 18:1;O2/24:1 -> reported chain 24:1 only.","ceramide_force_drop_base"
"ASG","Sterol-related lipid","The fatty acyl chain is reported after excluding the sterol-derived moiety.","The first token is removed and interpreted as the sterol-derived moiety.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are ignored unless molecular-species evidence is present.","FA suffixes in parentheses are captured; trailing 'FA xx:y' text is captured; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: ASG 27:1;FA 18:2 -> reported chain 18:2 only.","asg_drop_sterol"
"ASHexCer","Sphingolipid","Only the N-acyl chain is reported; the long-chain base is removed before reporting.","The first token is removed and interpreted as the sphingoid long-chain base.","Slash-delimited notation is parsed explicitly.","Sum-composition-only names are ignored unless molecular-species evidence is present.","FA suffixes in parentheses are captured; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: Cer 18:1;O2/24:1 -> reported chain 24:1 only.","ceramide_force_drop_base"
"ASM","Sphingolipid","Only the N-acyl chain is reported; the long-chain base is removed before reporting.","The first token is removed and interpreted as the sphingoid long-chain base.","Slash-delimited notation is parsed explicitly.","Sum-composition-only names are ignored unless molecular-species evidence is present.","FA suffixes in parentheses are captured; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: Cer 18:1;O2/24:1 -> reported chain 24:1 only.","ceramide_force_drop_base"
"BA","Sterol-related lipid","No acyl-chain metadata are reported for this class.","Not applicable.","No chain notation is parsed.","Not applicable.","None.","Example: BA -> no acyl-chain metadata reported.","bile_acid"
"BMP","Glycerolipid","All chain tokens present in the lipid name are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: DG 16:0_18:1 -> reported chains 16:0 and 18:1.","glycerolipid"
"BRSE","Sterol-related lipid","The esterified fatty acyl chain is reported.","The first token is removed and interpreted as the sterol backbone.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are ignored unless molecular-species evidence is present.","FA suffixes in parentheses are captured; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: SE 27:1/18:2 -> reported chain 18:2 only.","steryl_ester"
"CAR","Single-chain lipid","The acyl chain linked to carnitine is reported directly.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: CAR 16:0 -> reported chain 16:0.","acylcarnitine"
"CASE","Sterol-related lipid","The esterified fatty acyl chain is reported.","The first token is removed and interpreted as the sterol backbone.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are ignored unless molecular-species evidence is present.","FA suffixes in parentheses are captured; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: SE 27:1/18:2 -> reported chain 18:2 only.","steryl_ester"
"CE","Sterol-related lipid","The single esterified fatty acyl chain is reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: CE 20:4 -> reported chain 20:4.","cholesteryl_ester"
"Cer","Sphingolipid","Only the N-acyl chain is reported; the long-chain base is removed before reporting.","The first token is removed and interpreted as the sphingoid long-chain base.","Slash-delimited notation is parsed explicitly.","Sum-composition-only names are ignored unless molecular-species evidence is present.","FA suffixes in parentheses are captured; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: Cer 18:1;O2/24:1 -> reported chain 24:1 only.","ceramide_force_drop_base"
"CerP","Sphingolipid","Only the N-acyl chain is reported; the long-chain base is removed before reporting.","The first token is removed and interpreted as the sphingoid long-chain base.","Slash-delimited notation is parsed explicitly.","Sum-composition-only names are ignored unless molecular-species evidence is present.","FA suffixes in parentheses are captured; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: Cer 18:1;O2/24:1 -> reported chain 24:1 only.","ceramide_force_drop_base"
"CL","Glycerolipid","All chain tokens present in the lipid name are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: DG 16:0_18:1 -> reported chains 16:0 and 18:1.","glycerolipid"
"DEGSE","Sterol-related lipid","The esterified fatty acyl chain is reported.","The first token is removed and interpreted as the sterol backbone.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are ignored unless molecular-species evidence is present.","FA suffixes in parentheses are captured; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: SE 27:1/18:2 -> reported chain 18:2 only.","steryl_ester"
"DG","Glycerolipid","All chain tokens present in the lipid name are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: DG 16:0_18:1 -> reported chains 16:0 and 18:1.","glycerolipid"
"DGCC","Glycerolipid","All chain tokens present in the lipid name are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: DG 16:0_18:1 -> reported chains 16:0 and 18:1.","glycerolipid"
"DGDG","Glycerolipid","All chain tokens present in the lipid name are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: DG 16:0_18:1 -> reported chains 16:0 and 18:1.","glycerolipid"
"DGGA","Glycerolipid","All chain tokens present in the lipid name are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: DG 16:0_18:1 -> reported chains 16:0 and 18:1.","glycerolipid"
"DGTS","Glycerolipid","All chain tokens present in the lipid name are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: DG 16:0_18:1 -> reported chains 16:0 and 18:1.","glycerolipid"
"DLCL","Glycerolipid","All chain tokens present in the lipid name are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: DG 16:0_18:1 -> reported chains 16:0 and 18:1.","glycerolipid"
"DMPE","Glycerolipid","All chain tokens present in the lipid name are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: DG 16:0_18:1 -> reported chains 16:0 and 18:1.","glycerolipid"
"DSMSE","Sterol-related lipid","The esterified fatty acyl chain is reported.","The first token is removed and interpreted as the sterol backbone.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are ignored unless molecular-species evidence is present.","FA suffixes in parentheses are captured; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: SE 27:1/18:2 -> reported chain 18:2 only.","steryl_ester"
"EGSE","Sterol-related lipid","The esterified fatty acyl chain is reported.","The first token is removed and interpreted as the sterol backbone.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are ignored unless molecular-species evidence is present.","FA suffixes in parentheses are captured; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: SE 27:1/18:2 -> reported chain 18:2 only.","steryl_ester"
